index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
307,622671872,622671873,622671876,622671885,622671897,622671898,622671886,622736872,622736872,622736875,622736879,622736884,1,3,9,21,1,-11,64986,0,3,4,5,65012
309,622672045,622672047,622672050,622672059,622672069,622672070,622672061,622736692,622736692,622736695,622736699,622736703,2,3,9,19,1,-8,64631,0,3,4,4,64658
312,622672405,622672406,622672408,622672414,622672423,622672424,622672415,622737213,622737213,622737216,622737220,622737224,1,2,6,15,1,-8,64798,0,3,4,4,64819
313,622672469,622672470,622672473,622672482,622672492,622672493,622672483,622737130,622737130,622737133,622737137,622737141,1,3,9,19,1,-9,64647,0,3,4,4,64672
314,622672660,622672661,622672664,622672673,622672682,622672683,622672674,622736949,622736949,622736952,622736956,622736961,1,3,9,18,1,-8,64275,0,3,4,5,64301
315,622672740,622672741,622672744,622672752,622672760,622672760,622672752,622737037,622737037,622737040,622737044,622737048,1,3,8,16,0,-8,64285,0,3,4,4,64308
384,632674066,632674069,632674092,632674104,632674116,632674127,632674113,632710046,632710046,632710049,632710054,632710058,3,23,12,24,11,-3,35933,0,3,5,4,35992
385,632674232,632674233,632674236,632674247,632674258,632674259,632674249,632710300,632710300,632710302,632710307,632710311,1,3,11,22,1,-9,36051,0,2,5,4,36079
386,632674232,632674234,632674260,632674266,632674273,632674291,632674279,632709805,632709805,632709809,632709813,632709819,2,26,6,13,18,6,35526,0,4,4,6,35587
388,632674407,632674409,632674422,632674429,632674439,632674440,632674435,632710159,632710159,632710162,632710166,632710170,2,13,7,17,1,-4,35724,0,3,4,4,35763
390,632674790,632674793,632674796,632674803,632674812,632674812,632674804,632709941,632709941,632709944,632709948,632709952,3,3,7,16,0,-8,35137,0,3,4,4,35162
393,632675139,632675140,632675143,632675152,632675162,632675163,632675153,632710407,632710407,632710410,632710413,632710418,1,3,9,19,1,-9,35254,0,3,3,5,35279
482,642676089,642676091,642676093,642676107,642676120,642676121,642676108,642716782,642716782,642716785,642716790,642716796,2,2,14,27,1,-12,40674,0,3,5,6,40707
484,642676315,642676317,642676341,642676348,642676357,642676373,642676359,642716993,642716993,642716996,642717000,642717005,2,24,7,16,16,2,40634,0,3,4,5,40690
568,652677678,652677680,652677682,652677696,652677713,652677713,652677697,652715147,652715147,652715151,652715155,652715159,2,2,14,31,0,-16,37450,0,4,4,4,37481
570,652677684,652677687,652677722,652677727,652677735,652677751,652677737,652715491,652715491,652715494,652715499,652715503,3,35,5,13,16,2,37754,0,3,5,4,37819
572,652677838,652677839,652677842,652677852,652677862,652677864,652677853,652715040,652715040,652715043,652715048,652715053,1,3,10,20,2,-9,37187,0,3,5,5,37215
574,652678296,652678298,652678301,652678309,652678320,652678322,652678311,652715256,652715256,652715259,652715263,652715267,2,3,8,19,2,-9,36945,0,3,4,4,36971
