index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
1774,250010312,250010313,250010315,250010322,250010331,250010341,250010330,250013487,0,250013489,250013493,250013498,1,2,7,16,10,-1,3157,-250013487,250013489,4,5,3186
1775,250417735,250417738,250417740,250417746,250417755,250417762,250417754,250421031,0,250421034,250421037,250421042,3,2,6,15,7,-1,3277,-250421031,250421034,3,5,3307
1776,250446275,250446275,250446277,250446281,250446287,250446298,250446289,250448681,0,250448685,250448687,250448692,0,2,4,10,11,2,2392,-250448681,250448685,2,5,2417
1777,251118513,251118513,251118515,251118520,251118529,251118537,251118528,251121657,0,251121660,251121663,251121668,0,2,5,14,8,-1,3129,-251121657,251121660,3,5,3155
1778,251214509,251214510,251214511,251214515,251214522,251214532,251214522,251217674,0,251217676,251217678,251217683,1,1,4,11,10,0,3152,-251217674,251217676,2,5,3174
1779,251558991,251558992,251558994,251558998,251559005,251559013,251559004,251562565,0,251562568,251562571,251562575,1,2,4,11,8,-1,3561,-251562565,251562568,3,4,3584
1780,252926570,252926571,252926573,252926579,252926587,252926588,252926587,252929017,0,252929020,252929023,252929027,1,2,6,14,1,0,2430,-252929017,252929020,3,4,2457
1781,254424583,254424586,254424588,254424595,254424602,254424610,254424603,254427052,0,254427055,254427057,254427062,3,2,7,14,8,1,2449,-254427052,254427055,2,5,2479
1782,254436787,254436788,254436790,254436796,254436801,254436811,254436802,254439126,0,254439129,254439131,254439136,1,2,6,11,10,1,2324,-254439126,254439129,2,5,2349
1783,254453619,254453620,254453622,254453625,254453629,254453640,254453630,254456756,0,254456758,254456761,254456766,1,2,3,7,11,1,3126,-254456756,254456758,3,5,3147
1784,254471823,254471824,254471826,254471829,254471834,254471841,254471835,254474207,0,254474210,254474212,254474217,1,2,3,8,7,1,2372,-254474207,254474210,2,5,2394
1785,254504181,254504182,254504184,254504187,254504191,254504208,254504194,254506448,0,254506452,254506455,254506460,1,2,3,7,17,3,2254,-254506448,254506452,3,5,2279
1786,259724999,259725002,259725004,259725019,259725037,259725040,259725031,259728309,0,259728313,259728316,259728321,3,2,15,33,3,-6,3278,-259728309,259728313,3,5,3322
1787,259728473,259728475,259728476,259728480,259728486,259728495,259728486,259731666,0,259731668,259731670,259731675,2,1,4,10,9,0,3180,-259731666,259731668,2,5,3202
1788,260403771,260403772,260403774,260403781,260403788,260403789,260403788,260406179,0,260406181,260406185,260406190,1,2,7,14,1,0,2391,-260406179,260406181,4,5,2419
1789,260892054,260892055,260892057,260892064,260892071,260892083,260892072,260895379,0,260895382,260895385,260895392,1,2,7,14,12,1,3307,-260895379,260895382,3,7,3338
1790,260902914,260902915,260902917,260902921,260902927,260902938,260902929,260906466,0,260906469,260906472,260906476,1,2,4,10,11,2,3537,-260906466,260906469,3,4,3562
1791,260917988,260917989,260917991,260917995,260918000,260918012,260918002,260921305,0,260921307,260921310,260921314,1,2,4,9,12,2,3303,-260921305,260921307,3,4,3326
1792,260919819,260919820,260919821,260919825,260919829,260919848,260919834,260922111,0,260922113,260922116,260922120,1,1,4,8,19,5,2277,-260922111,260922113,3,4,2301
1793,260927063,260927064,260927066,260927070,260927075,260927090,260927077,260930229,0,260930232,260930234,260930239,1,2,4,9,15,2,3152,-260930229,260930232,2,5,3176
1794,260932312,260932313,260932315,260932319,260932325,260932332,260932326,260934406,0,260934409,260934411,260934416,1,2,4,10,7,1,2080,-260934406,260934409,2,5,2104
1795,261256833,261256833,261256835,261256841,261256847,261256855,261256848,261259392,0,261259394,261259398,261259403,0,2,6,12,8,1,2544,-261259392,261259394,4,5,2570
1796,261378505,261378507,261378509,261378512,261378516,261378531,261378518,261381567,0,261381570,261381572,261381577,2,2,3,7,15,2,3049,-261381567,261381570,2,5,3072
1797,262128871,262128871,262128873,262128880,262128891,262128898,262128889,262132278,0,262132280,262132284,262132289,0,2,7,18,7,-2,3389,-262132278,262132280,4,5,3418
1798,262368873,262368876,262368878,262368882,262368889,262368890,262368889,262372346,0,262372348,262372350,262372355,3,2,4,11,1,0,3457,-262372346,262372348,2,5,3482
1799,262368893,262368895,262368895,262368899,262368904,262368919,262368903,262371506,0,262371510,262371513,262371517,2,0,4,9,15,-1,2603,-262371506,262371510,3,4,2624
1800,262488873,262488875,262488877,262488882,262488887,262488898,262488888,262491970,0,262491973,262491976,262491980,2,2,5,10,11,1,3082,-262491970,262491973,3,4,3107
1801,262536871,262536872,262536874,262536877,262536882,262536890,262536884,262539486,0,262539490,262539492,262539497,1,2,3,8,8,2,2602,-262539486,262539490,2,5,2626
1802,262560873,262560874,262560875,262560879,262560883,262560891,262560885,262563497,0,262563499,262563505,262563510,1,1,4,8,8,2,2612,-262563497,262563499,6,5,2637
1803,262584871,262584872,262584874,262584878,262584882,262584893,262584884,262587047,0,262587049,262587051,262587056,1,2,4,8,11,2,2163,-262587047,262587049,2,5,2185
1804,262845890,262845891,262845893,262845897,262845902,262845918,262845904,262848319,0,262848322,262848324,262848329,1,2,4,9,16,2,2415,-262848319,262848322,2,5,2439
1805,263061891,263061892,263061894,263061898,263061903,263061915,263061906,263064974,0,263064976,263064979,263064983,1,2,4,9,12,3,3068,-263064974,263064976,3,4,3092
1806,263301897,263301898,263301900,263301906,263301912,263301918,263301913,263305308,0,263305311,263305313,263305318,1,2,6,12,6,1,3395,-263305308,263305311,2,5,3421
1807,263363624,263363625,263363627,263363632,263363639,263363640,263363639,263366292,0,263366295,263366298,263366303,1,2,5,12,1,0,2653,-263366292,263366295,3,5,2679
1808,264867779,264867780,264867782,264867794,264867805,264867806,264867802,264871118,0,264871121,264871126,264871131,1,2,12,23,1,-3,3316,-264871118,264871121,5,5,3352
1809,265303972,265303975,265303977,265303982,265303989,265303990,265303989,265307110,0,265307113,265307116,265307120,3,2,5,12,1,0,3121,-265307110,265307113,3,4,3148
1810,265351962,265351963,265351966,265351972,265351980,265351986,265351979,265355319,0,265355322,265355324,265355329,1,3,6,14,6,-1,3340,-265355319,265355322,2,5,3367
1811,265543970,265543971,265543973,265543977,265543982,265544001,265543985,265546907,0,265546910,265546913,265546917,1,2,4,9,19,3,2922,-265546907,265546910,3,4,2947
1812,265543976,265543977,265543988,265543990,265543994,265544001,265544012,265547033,0,265547035,265547037,265547045,1,11,2,6,7,18,3021,-265547033,265547035,2,8,3069
1813,268411287,268411288,268411289,268411299,268411308,268411310,268411308,268414616,0,268414619,268414621,268414625,1,1,10,19,2,0,3308,-268414616,268414619,2,4,3338
1814,268632629,268632632,268632634,268632640,268632649,268632656,268632647,268636030,0,268636034,268636037,268636042,3,2,6,15,7,-2,3383,-268636030,268636034,3,5,3413
1815,268668862,268668865,268668866,268668873,268668880,268668882,268668879,268672725,0,268672728,268672731,268672736,3,1,7,14,2,-1,3846,-268672725,268672728,3,5,3874
1816,268993028,268993031,268993033,268993038,268993045,268993053,268993046,268995464,0,268995467,268995470,268995474,3,2,5,12,8,1,2418,-268995464,268995467,3,4,2446
1817,269605247,269605248,269605250,269605256,269605264,269605274,269605263,269607827,0,269607830,269607833,269607838,1,2,6,14,10,-1,2564,-269607827,269607830,3,5,2591
1818,269741949,269741950,269741952,269741955,269741960,269741971,269741962,269744573,0,269744576,269744579,269744583,1,2,3,8,11,2,2611,-269744573,269744576,3,4,2634
1819,269749658,269749659,269749660,269749664,269749668,269749679,269749671,269753005,0,269753007,269753010,269753015,1,1,4,8,11,3,3334,-269753005,269753007,3,5,3357
1820,269768413,269768414,269768416,269768419,269768424,269768434,269768425,269771630,0,269771633,269771636,269771641,1,2,3,8,10,1,3205,-269771630,269771633,3,5,3228
1821,269774583,269774584,269774586,269774589,269774594,269774603,269774595,269776975,0,269776978,269776981,269776986,1,2,3,8,9,1,2380,-269776975,269776978,3,5,2403
1822,270899652,270899653,270899655,270899661,270899668,270899678,270899669,270902165,0,270902168,270902171,270902176,1,2,6,13,10,1,2496,-270902165,270902168,3,5,2524
1823,270904287,270904288,270904289,270904293,270904298,270904308,270904300,270906600,0,270906603,270906606,270906610,1,1,4,9,10,2,2300,-270906600,270906603,3,4,2323
1824,270910580,270910581,270910583,270910587,270910591,270910600,270910592,270913120,0,270913122,270913124,270913129,1,2,4,8,9,1,2528,-270913120,270913122,2,5,2549
1825,272187966,272187969,272187971,272187977,272187984,272187992,272187985,272190429,0,272190432,272190435,272190439,3,2,6,13,8,1,2444,-272190429,272190432,3,4,2473
1826,272190884,272190885,272190887,272190890,272190895,272190901,272190895,272193252,0,272193255,272193257,272193262,1,2,3,8,6,0,2357,-272193252,272193255,2,5,2378
1827,273197179,273197179,273197182,273197188,273197194,273197206,273197196,273199750,0,273199753,273199757,273199762,0,3,6,12,12,2,2554,-273199750,273199753,4,5,2583
1828,273197210,273197212,273197214,273197216,273197221,273197227,273197221,273199866,0,273199868,273199870,273199874,2,2,2,7,6,0,2645,-273199866,273199868,2,4,2664
1829,276811635,276811638,276811640,276811649,276811659,276811669,276811658,276814942,0,276814945,276814948,276814952,3,2,9,19,10,-1,3284,-276814942,276814945,3,4,3317
