index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,send_req_rtt,accept_req_rtt
379,285755970,285755973,285755985,285755988,285755994,285756003,285755993,285759578,0,285759584,285759587,285759593,3,12,3,9,9,-1,3585,-285759578,285759584,3,6,23,3623
380,285755971,285755972,285755974,285755978,285755984,285755985,285755984,285759509,0,285759516,285759518,285759523,1,2,4,10,1,0,3525,-285759509,285759516,2,5,13,3552
381,285756010,285756011,285756013,285756017,285756023,285756032,285756022,285759671,0,285759677,285759680,285759686,1,2,4,10,9,-1,3649,-285759671,285759677,3,6,12,3676
382,286130093,286130094,286130096,286130104,286130112,286130113,286130111,286133438,0,286133441,286133444,286133450,1,2,8,16,1,-1,3327,-286133438,286133441,3,6,18,3357
383,286592994,286592994,286592996,286593002,286593009,286593018,286593010,286595320,0,286595322,286595325,286595329,0,2,6,13,9,1,2310,-286595320,286595322,3,4,16,2335
384,286747403,286747404,286747406,286747411,286747418,286747428,286747417,286750632,0,286750634,286750638,286750642,1,2,5,12,10,-1,3215,-286750632,286750634,4,4,14,3239
385,288089491,288089492,288089494,288089499,288089507,288089517,288089507,288092644,0,288092647,288092651,288092655,1,2,5,13,10,0,3137,-288092644,288092647,4,4,16,3164
386,288101028,288101029,288101031,288101034,288101040,288101049,288101041,288104309,0,288104311,288104313,288104318,1,2,3,9,9,1,3268,-288104309,288104311,2,5,13,3290
387,288233407,288233408,288233410,288233414,288233421,288233432,288233421,288236450,0,288236453,288236455,288236459,1,2,4,11,11,0,3029,-288236450,288236453,2,4,14,3052
388,289122512,289122513,289122515,289122525,289122534,289122544,289122533,289125743,0,289125746,289125749,289125755,1,2,10,19,10,-1,3210,-289125743,289125746,3,6,21,3243
389,289126204,289126205,289126206,289126210,289126216,289126224,289126216,289129326,0,289129329,289129332,289129335,1,1,4,10,8,0,3110,-289129326,289129329,3,3,12,3131
390,290316689,290316690,290316692,290316699,290316705,290316716,290316707,290319016,0,290319018,290319021,290319026,1,2,7,13,11,2,2309,-290319016,290319018,3,5,18,2337
391,290320891,290320892,290320893,290320900,290320908,290320910,290320907,290324261,0,290324264,290324268,290324273,1,1,7,15,2,-1,3354,-290324261,290324264,4,5,16,3382
392,290320932,290320933,290320934,290320940,290320947,290320975,290320946,290324477,0,290324479,290324482,290324487,1,1,6,13,28,-1,3531,-290324477,290324479,3,5,14,3555
393,290320941,290320942,290320949,290320953,290320961,290320969,290320957,290324560,0,290324568,290324570,290324576,1,7,4,12,8,-4,3603,-290324560,290324568,2,6,16,3635
394,290320948,290320950,290320975,290320979,290320986,290320996,290320984,290324845,0,290324847,290324850,290324853,2,25,4,11,10,-2,3861,-290324845,290324847,3,3,36,3905
395,290320949,290320950,290320963,290320967,290320974,290320999,290320982,290324706,0,290324708,290324711,290324714,1,13,4,11,25,8,3724,-290324706,290324708,3,3,33,3765
396,290339728,290339729,290339731,290339737,290339744,290339756,290339743,290343175,0,290343178,290343181,290343186,1,2,6,13,12,-1,3432,-290343175,290343178,3,5,15,3458
397,290339759,290339760,290339761,290339765,290339772,290339781,290339773,290343308,0,290343310,290343312,290343316,1,1,4,11,9,1,3535,-290343308,290343310,2,4,14,3557
398,290339808,290339809,290339811,290339815,290339821,290339847,290339820,290343429,0,290343436,290343438,290343445,1,2,4,10,26,-1,3609,-290343429,290343436,2,7,12,3637
399,290339814,290339815,290339822,290339825,290339831,290339838,290339829,290343498,0,290343500,290343503,290343508,1,7,3,9,7,-2,3669,-290343498,290343500,3,5,15,3694
400,290339822,290339823,290339832,290339836,290339842,290339861,290339855,290343620,0,290343632,290343634,290343639,1,9,4,10,19,13,3765,-290343620,290343632,2,5,33,3817
401,290756628,290756629,290756630,290756636,290756644,290756653,290756643,290759898,0,290759902,290759905,290759910,1,1,6,14,9,-1,3255,-290759898,290759902,3,5,15,3282
402,290756661,290756662,290756664,290756668,290756675,290756675,290756673,290760040,0,290760042,290760045,290760050,1,2,4,11,0,-2,3367,-290760040,290760042,3,5,12,3389
403,290756677,290756678,290756679,290756683,290756690,290756720,290756701,290760165,0,290760167,290760169,290760177,1,1,4,11,30,11,3464,-290760165,290760167,2,8,24,3500
404,290756690,290756691,290756693,290756697,290756703,290756715,290756705,290760171,0,290760177,290760179,290760185,1,2,4,10,12,2,3466,-290760171,290760177,2,6,15,3495
405,290756726,290756727,290756728,290756732,290756738,290756739,290756737,290760269,0,290760274,290760276,290760283,1,1,4,10,1,-1,3532,-290760269,290760274,2,7,11,3557
406,291742453,291742454,291742456,291742463,291742471,291742479,291742471,291745368,0,291745371,291745373,291745377,1,2,7,15,8,0,2897,-291745368,291745371,2,4,18,2924
407,291746601,291746602,291746604,291746607,291746612,291746622,291746614,291749478,0,291749480,291749484,291749489,1,2,3,8,10,2,2864,-291749478,291749480,4,5,13,2888
408,294196429,294196430,294196432,294196439,294196446,294196457,294196448,294199364,0,294199367,294199370,294199374,1,2,7,14,11,2,2916,-294199364,294199367,3,4,19,2945
409,294298432,294298433,294298435,294298442,294298447,294298457,294298448,294301561,0,294301564,294301568,294301573,1,2,7,12,10,1,3113,-294301561,294301564,4,5,16,3141
410,295321255,295321256,295321258,295321267,295321279,295321280,295321276,295324769,0,295324772,295324775,295324780,1,2,9,21,1,-3,3493,-295324769,295324772,3,5,21,3525
411,295321304,295321305,295321307,295321312,295321319,295321321,295321317,295324900,0,295324902,295324905,295324910,1,2,5,12,2,-2,3583,-295324900,295324902,3,5,13,3606
412,295321308,295321308,295321321,295321325,295321332,295321351,295321344,295324981,0,295324983,295324986,295324990,0,13,4,11,19,12,3637,-295324981,295324983,3,4,36,3682
413,295321336,295321337,295321339,295321344,295321352,295321395,295321366,295325050,0,295325052,295325055,295325059,1,2,5,13,43,14,3684,-295325050,295325052,3,4,30,3723
414,295321357,295321358,295321360,295321364,295321371,295321381,295321369,295325125,0,295325127,295325130,295325134,1,2,4,11,10,-2,3756,-295325125,295325127,3,4,12,3777
415,295340122,295340123,295340125,295340131,295340139,295340139,295340138,295343538,0,295343540,295343544,295343548,1,2,6,14,0,-1,3400,-295343538,295343540,4,4,16,3426
416,295340153,295340155,295340168,295340171,295340177,295340195,295340186,295343864,0,295343870,295343873,295343879,2,13,3,9,18,9,3678,-295343864,295343870,3,6,33,3726
417,295340153,295340154,295340156,295340160,295340167,295340175,295340166,295343747,0,295343752,295343755,295343762,1,2,4,11,8,-1,3581,-295343747,295343752,3,7,13,3609
418,295340199,295340200,295340202,295340205,295340211,295340223,295340215,295343936,0,295343938,295343940,295343944,1,2,3,9,12,4,3721,-295343936,295343938,2,4,16,3745
419,295340207,295340208,295340212,295340215,295340221,295340243,295340232,295344009,0,295344011,295344013,295344018,1,4,3,9,22,11,3777,-295344009,295344011,2,5,25,3811
420,295757119,295757122,295757140,295757144,295757151,295757163,295757155,295760731,0,295760734,295760736,295760743,3,18,4,11,12,4,3576,-295760731,295760734,2,7,36,3624
421,295757120,295757121,295757123,295757130,295757139,295757148,295757138,295760579,0,295760582,295760585,295760590,1,2,7,16,9,-1,3441,-295760579,295760582,3,5,18,3470
422,295757179,295757180,295757182,295757186,295757193,295757202,295757192,295760737,0,295760744,295760747,295760757,1,2,4,11,9,-1,3545,-295760737,295760744,3,10,13,3578
423,295757206,295757208,295757219,295757223,295757229,295757244,295757239,295760953,0,295760955,295760958,295760961,2,11,4,10,15,10,3714,-295760953,295760955,3,3,33,3755
424,295757206,295757207,295757209,295757213,295757218,295757219,295757217,295760882,0,295760884,295760887,295760892,1,2,4,9,1,-1,3665,-295760882,295760884,3,5,11,3686
425,297169263,297169264,297169266,297169274,297169283,297169285,297169281,297172593,0,297172596,297172599,297172604,1,2,8,17,2,-2,3312,-297172593,297172596,3,5,18,3341
426,298744137,298744138,298744140,298744151,298744162,298744172,298744159,298747523,0,298747526,298747530,298747534,1,2,11,22,10,-3,3364,-298747523,298747526,4,4,22,3397
427,299100856,299100857,299100859,299100865,299100872,299100881,299100874,299104106,0,299104109,299104113,299104117,1,2,6,13,9,2,3232,-299104106,299104109,4,4,18,3261
428,300049487,300049488,300049490,300049496,300049504,300049513,300049503,300052764,0,300052767,300052770,300052775,1,2,6,14,9,-1,3261,-300052764,300052767,3,5,16,3288
429,300053685,300053686,300053688,300053692,300053698,300053705,300053698,300056824,0,300056826,300056830,300056834,1,2,4,10,7,0,3126,-300056824,300056826,4,4,13,3149
430,300134116,300134117,300134119,300134123,300134130,300134139,300134130,300137451,0,300137454,300137456,300137461,1,2,4,11,9,0,3321,-300137451,300137454,2,5,14,3345
431,300321669,300321671,300321673,300321681,300321690,300321692,300321689,300324762,0,300324764,300324768,300324772,2,2,8,17,2,-1,3073,-300324762,300324764,4,4,20,3103
432,300321740,300321741,300321743,300321749,300321757,300321767,300321755,300325006,0,300325008,300325011,300325015,1,2,6,14,10,-2,3251,-300325006,300325008,3,4,15,3275
433,300321745,300321746,300321759,300321763,300321771,300321786,300321776,300325147,0,300325149,300325152,300325155,1,13,4,12,15,5,3371,-300325147,300325149,3,3,31,3410
434,300321747,300321748,300321773,300321777,300321783,300321815,300321794,300325263,0,300325265,300325269,300325273,1,25,4,10,32,11,3469,-300325263,300325265,4,4,47,3526
435,300321758,300321758,300321784,300321789,300321795,300321811,300321798,300325434,0,300325436,300325439,300325445,0,26,5,11,16,3,3636,-300325434,300325436,3,6,40,3687
436,300340598,300340598,300340600,300340606,300340613,300340614,300340613,300344076,0,300344078,300344082,300344087,0,2,6,13,1,0,3463,-300344076,300344078,4,5,15,3489
437,300340629,300340630,300340632,300340635,300340642,300340643,300340642,300344203,0,300344205,300344207,300344211,1,2,3,10,1,0,3561,-300344203,300344205,2,4,13,3582
438,300340634,300340635,300340643,300340646,300340652,300340661,300340652,300344284,0,300344286,300344289,300344292,1,8,3,9,9,0,3632,-300344284,300344286,3,3,18,3658
439,300340647,300340648,300340653,300340657,300340663,300340697,300340680,300344359,0,300344361,300344364,300344368,1,5,4,10,34,17,3679,-300344359,300344361,3,4,33,3721
440,300340670,300340671,300340673,300340676,300340683,300340695,300340686,300344428,0,300344430,300344433,300344438,1,2,3,10,12,3,3742,-300344428,300344430,3,5,16,3768
441,300714186,300714187,300714189,300714196,300714205,300714214,300714204,300717484,0,300717486,300717489,300717493,1,2,7,16,9,-1,3280,-300717484,300717486,3,4,18,3307
442,301015586,301015587,301015589,301015595,301015602,301015611,301015602,301018393,0,301018395,301018401,301018407,1,2,6,13,9,0,2791,-301018393,301018395,6,6,16,2821
443,301015643,301015644,301015647,301015650,301015656,301015664,301015655,301018964,0,301018966,301018969,301018973,1,3,3,9,8,-1,3309,-301018964,301018966,3,4,12,3330
444,302893065,302893065,302893067,302893074,302893082,302893092,302893081,302896429,0,302896432,302896435,302896439,0,2,7,15,10,-1,3348,-302896429,302896432,3,4,16,3374
445,303104010,303104011,303104013,303104017,303104024,303104033,303104025,303107366,0,303107369,303107372,303107377,1,2,4,11,9,1,3341,-303107366,303107369,3,5,15,3367
446,303149133,303149134,303149136,303149141,303149149,303149158,303149148,303152298,0,303152301,303152305,303152309,1,2,5,13,9,-1,3150,-303152298,303152301,4,4,15,3176
447,303222768,303222768,303222770,303222775,303222782,303222790,303222783,303226051,0,303226054,303226057,303226061,0,2,5,12,8,1,3268,-303226051,303226054,3,4,15,3293
448,303804841,303804841,303804843,303804849,303804857,303804858,303804857,303808196,0,303808199,303808201,303808206,0,2,6,14,1,0,3339,-303808196,303808199,2,5,16,3365
449,304601580,304601581,304601582,304601588,304601595,304601605,304601596,304604863,0,304604865,304604868,304604873,1,1,6,13,10,1,3267,-304604863,304604865,3,5,16,3293
450,304712185,304712186,304712188,304712194,304712201,304712202,304712201,304715482,0,304715485,304715488,304715493,1,2,6,13,1,0,3281,-304715482,304715485,3,5,16,3308
451,304715918,304715919,304715921,304715925,304715930,304715938,304715931,304718987,0,304718990,304718992,304718997,1,2,4,9,8,1,3056,-304718987,304718990,2,5,13,3079
452,304734729,304734730,304734732,304734735,304734741,304734749,304734742,304738029,0,304738033,304738035,304738040,1,2,3,9,8,1,3287,-304738029,304738033,2,5,13,3311
453,305322098,305322099,305322101,305322109,305322119,305322122,305322117,305325604,0,305325607,305325610,305325615,1,2,8,18,3,-2,3487,-305325604,305325607,3,5,19,3517
454,305322102,305322103,305322122,305322127,305322133,305322162,305322139,305325731,0,305325733,305325736,305325740,1,19,5,11,29,6,3592,-305325731,305325733,3,4,37,3638
